TRADEDATE,SECID,CLOSE,50MA
2023-11-03,IMOEX,3208.63,3176.01
2023-11-06,IMOEX,3235.11,3176.74
2023-11-07,IMOEX,3246.34,3177.44
2023-11-08,IMOEX,3245.43,3178.09
2023-11-09,IMOEX,3239.92,3178.33
2023-11-10,IMOEX,3242.06,3178.55
2023-11-13,IMOEX,3248.27,3178.13
2023-11-14,IMOEX,3212.39,3177.09
2023-11-15,IMOEX,3215.11,3176.48
2023-11-16,IMOEX,3189.08,3176.88
2023-11-17,IMOEX,3206.34,3178.15
2023-11-20,IMOEX,3207.36,3179.85
2023-11-21,IMOEX,3218.48,3180.9
2023-11-22,IMOEX,3230.65,3182.55
2023-11-23,IMOEX,3221.05,3184.18
2023-11-24,IMOEX,3217.76,3185.49
2023-11-27,IMOEX,3191.05,3186.6
2023-11-28,IMOEX,3196.36,3188.85
2023-11-29,IMOEX,3173.52,3190.96
2023-11-30,IMOEX,3165.79,3193.89
2023-12-01,IMOEX,3142.29,3195.76
2023-12-04,IMOEX,3114.41,3197.14
2023-12-05,IMOEX,3129.33,3198.69
2023-12-06,IMOEX,3079.5,3198.92
2023-12-07,IMOEX,3073.63,3198.24
2023-12-08,IMOEX,3079.99,3197.17
2023-12-11,IMOEX,3026.17,3195.05
2023-12-12,IMOEX,3019.89,3192.57
2023-12-13,IMOEX,3032.22,3190.53
2023-12-14,IMOEX,3008.84,3188.07
2023-12-15,IMOEX,3033.89,3185.85
2023-12-18,IMOEX,3076.26,3183.89
2023-12-19,IMOEX,3083.64,3182.03
2023-12-20,IMOEX,3104.66,3180.24
2023-12-21,IMOEX,3073.57,3178.21
2023-12-22,IMOEX,3092.58,3176.22
2023-12-25,IMOEX,3099.02,3173.5
2023-12-26,IMOEX,3094.72,3170.46
2023-12-27,IMOEX,3097.49,3167.42
2023-12-28,IMOEX,3101.99,3164.36
2023-12-29,IMOEX,3099.11,3160.95
